age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,academic_success
21,2,2,1,1,1,4,2,2,3,2,5,4,12.0,10.0,0
18,2,3,3,1,0,5,4,3,3,2,5,11,6.0,8.0,0
19,2,0,4,2,0,4,3,3,1,1,3,6,12.0,11.0,1
21,1,1,3,4,0,5,1,5,3,5,2,5,13.0,12.0,1
17,3,3,1,2,3,5,3,4,5,1,4,0,7.0,7.0,0
19,1,4,2,2,0,5,1,4,2,1,2,2,7.0,6.0,0
19,0,2,2,1,1,1,3,3,2,2,4,13,11.0,9.0,0
21,3,2,1,1,0,5,4,4,1,3,5,2,16.0,16.0,1
16,1,1,2,4,0,4,2,3,1,1,5,15,13.0,9.0,0
17,4,2,1,4,0,4,4,4,1,3,5,10,14.0,13.0,1
21,4,2,1,1,0,5,1,5,1,2,5,0,13.0,11.0,0
17,4,1,1,4,0,4,3,1,5,1,4,4,20.0,17.0,1
17,2,1,1,2,1,5,4,4,1,1,5,2,10.0,8.0,0
19,0,2,1,3,0,3,3,2,2,2,4,5,17.0,15.0,1
18,4,0,2,2,0,4,2,3,2,1,2,6,16.0,14.0,1
17,2,1,1,2,0,4,3,3,2,4,1,21,11.0,9.0,0
20,4,1,2,2,3,3,3,3,5,3,3,2,14.0,11.0,0
19,4,1,1,2,1,3,4,3,1,5,3,5,14.0,9.0,0
16,4,1,1,1,0,1,3,4,1,1,4,2,15.0,12.0,1
18,1,4,1,1,3,4,4,3,1,5,5,12,7.0,5.0,0
20,2,2,2,2,0,4,4,4,1,2,2,1,12.0,10.0,1
20,4,3,1,2,0,4,3,3,1,1,2,1,15.0,16.0,1
16,2,3,1,1,0,4,5,2,1,1,5,4,14.0,11.0,0
18,1,2,2,2,1,4,3,4,2,1,2,3,12.0,9.0,0
19,2,1,1,4,0,4,5,3,1,3,4,4,15.0,12.0,1
15,4,2,1,1,0,2,2,3,1,2,4,0,16.0,14.0,1
18,3,2,1,2,0,5,4,4,1,1,4,1,14.0,13.0,1
16,2,3,2,2,2,5,3,3,1,2,1,18,10.0,10.0,0
20,1,2,1,3,0,4,3,2,1,1,1,0,16.0,15.0,1
19,3,1,2,1,0,4,4,3,2,2,2,1,10.0,10.0,0
