,count,mean,std,min,25%,50%,75%,max
age,395.0,17.954430379746835,2.0121330871729257,15.0,16.0,18.0,20.0,21.0
Medu,395.0,2.2911392405063293,1.2211326473777562,0.0,1.0,2.0,3.0,4.0
Fedu,395.0,2.027848101265823,1.1182537951969016,0.0,1.0,2.0,3.0,4.0
traveltime,395.0,1.5265822784810126,0.7844796621291642,1.0,1.0,1.0,2.0,4.0
studytime,395.0,2.070886075949367,0.8841744405393601,1.0,1.0,2.0,2.0,4.0
failures,395.0,0.39746835443037976,0.7683416586733203,0.0,0.0,0.0,1.0,3.0
famrel,395.0,3.9164556962025316,0.9015539854985016,1.0,4.0,4.0,4.0,5.0
freetime,395.0,3.258227848101266,1.0394023559710404,1.0,3.0,3.0,4.0,5.0
goout,395.0,3.210126582278481,1.0392787103291232,1.0,2.0,3.0,4.0,5.0
Dalc,395.0,1.5113924050632912,0.9271685161299302,1.0,1.0,1.0,2.0,5.0
Walc,395.0,2.0936708860759494,1.1745332556238974,1.0,1.0,2.0,3.0,5.0
health,395.0,3.4936708860759493,1.3317045460642147,1.0,3.0,4.0,5.0,5.0
absences,395.0,5.817721518987342,6.564957724330865,0.0,2.0,4.0,8.0,49.0
G1,395.0,12.124050632911393,2.9440301458999825,2.0,10.0,12.0,14.0,20.0
G2,395.0,10.288607594936709,3.0164938862745965,1.0,8.0,10.0,12.0,17.0
academic_success,395.0,0.4810126582278481,0.50027300906176,0.0,0.0,0.0,1.0,1.0
